run_no,spat_feed,diff_mort,juv-mort,time,BA
3,TRUE,TRUE,0,56,43.50103426
8,TRUE,TRUE,0,46,38.06392122
3,TRUE,TRUE,0,57,43.61108308
4,TRUE,TRUE,0,43,37.50049351
7,TRUE,TRUE,0,75,43.37814249
8,TRUE,TRUE,0,47,38.39491999
5,TRUE,TRUE,0,51,39.15373567
4,TRUE,TRUE,0,44,38.0608314
7,TRUE,TRUE,0,76,43.14429016
8,TRUE,TRUE,0,48,38.34304864
6,TRUE,TRUE,0,58,39.044546
1,TRUE,TRUE,0,58,35.18967324
7,TRUE,TRUE,0,77,43.87068123
4,TRUE,TRUE,0,45,37.6390955
5,TRUE,TRUE,0,52,38.48022016
2,TRUE,TRUE,0,52,36.18540889
3,TRUE,TRUE,0,58,44.10693339
8,TRUE,TRUE,0,49,39.01431363
4,TRUE,TRUE,0,46,37.98614725
1,TRUE,TRUE,0,59,35.0946601
5,TRUE,TRUE,0,53,38.11418435
3,TRUE,TRUE,0,59,44.48660598
2,TRUE,TRUE,0,53,36.90633836
4,TRUE,TRUE,0,47,36.52417117
8,TRUE,TRUE,0,50,39.56954353
3,TRUE,TRUE,0,60,44.56009741
1,TRUE,TRUE,0,60,35.69796401
2,TRUE,TRUE,0,54,37.5590095
8,TRUE,TRUE,0,51,38.70863615
6,TRUE,TRUE,0,59,39.71469304
7,TRUE,TRUE,0,78,44.30145999
3,TRUE,TRUE,0,61,45.41236579
1,TRUE,TRUE,0,61,36.06603722
4,TRUE,TRUE,0,48,36.46710863
2,TRUE,TRUE,0,55,38.25032164
7,TRUE,TRUE,0,79,45.14214516
3,TRUE,TRUE,0,62,45.23680566
5,TRUE,TRUE,0,54,38.88910757
6,TRUE,TRUE,0,60,40.54576027
1,TRUE,TRUE,0,62,36.41316186
7,TRUE,TRUE,0,80,45.85145312
3,TRUE,TRUE,0,63,45.89097808
6,TRUE,TRUE,0,61,41.21365348
4,TRUE,TRUE,0,49,36.41806442
8,TRUE,TRUE,0,52,39.09245621
3,TRUE,TRUE,0,64,45.47335632
1,TRUE,TRUE,0,63,36.55414022
6,TRUE,TRUE,0,62,41.98014142
4,TRUE,TRUE,0,50,35.74693216
2,TRUE,TRUE,0,56,38.82406392
5,TRUE,TRUE,0,55,39.10599746
6,TRUE,TRUE,0,63,42.13749223
4,TRUE,TRUE,0,51,36.05225086
3,TRUE,TRUE,0,65,46.11495768
7,TRUE,TRUE,0,81,46.40317274
2,TRUE,TRUE,0,57,39.41786493
6,TRUE,TRUE,0,64,41.24005382
8,TRUE,TRUE,0,53,39.51174176
1,TRUE,TRUE,0,64,37.00820973
3,TRUE,TRUE,0,66,46.34182842
2,TRUE,TRUE,0,58,40.32470008
6,TRUE,TRUE,0,65,41.89336134
3,TRUE,TRUE,0,67,46.599238
1,TRUE,TRUE,0,65,37.67238321
8,TRUE,TRUE,0,54,38.76063306
6,TRUE,TRUE,0,66,42.43948335
5,TRUE,TRUE,0,56,39.05506876
3,TRUE,TRUE,0,68,46.34884956
1,TRUE,TRUE,0,66,38.32095823
8,TRUE,TRUE,0,55,39.30421977
4,TRUE,TRUE,0,52,34.95004437
7,TRUE,TRUE,0,82,46.5545218
5,TRUE,TRUE,0,57,39.93122296
1,TRUE,TRUE,0,67,37.84041434
8,TRUE,TRUE,0,56,40.14074699
2,TRUE,TRUE,0,59,41.1636584
7,TRUE,TRUE,0,83,45.57300267
4,TRUE,TRUE,0,53,35.68056034
5,TRUE,TRUE,0,58,40.7147925
1,TRUE,TRUE,0,68,38.48198282
3,TRUE,TRUE,0,69,46.71370107
2,TRUE,TRUE,0,60,41.56333684
8,TRUE,TRUE,0,57,39.2442528
6,TRUE,TRUE,0,67,42.84576544
7,TRUE,TRUE,0,84,45.79549028
1,TRUE,TRUE,0,69,37.04745456
2,TRUE,TRUE,0,61,41.55560755
7,TRUE,TRUE,0,85,45.21833484
6,TRUE,TRUE,0,68,43.36901643
8,TRUE,TRUE,0,58,38.93568826
2,TRUE,TRUE,0,62,42.11531453
1,TRUE,TRUE,0,70,35.63792061
6,TRUE,TRUE,0,69,43.61298636
8,TRUE,TRUE,0,59,39.12501257
2,TRUE,TRUE,0,63,42.61472888
1,TRUE,TRUE,0,71,36.40867235
6,TRUE,TRUE,0,70,42.59395401
5,TRUE,TRUE,0,59,41.28383792
3,TRUE,TRUE,0,70,47.25773285
8,TRUE,TRUE,0,60,39.81779149
1,TRUE,TRUE,0,72,36.67138865
6,TRUE,TRUE,0,71,42.7836528
3,TRUE,TRUE,0,71,47.6202642
4,TRUE,TRUE,0,54,36.27387976
8,TRUE,TRUE,0,61,40.37513082
5,TRUE,TRUE,0,60,41.91176274
1,TRUE,TRUE,0,73,37.40129969
7,TRUE,TRUE,0,86,45.1447285
6,TRUE,TRUE,0,72,43.39560534
3,TRUE,TRUE,0,72,46.88981515
8,TRUE,TRUE,0,62,40.03558019
2,TRUE,TRUE,0,64,43.42204289
1,TRUE,TRUE,0,74,37.37431289
3,TRUE,TRUE,0,73,46.75731892
7,TRUE,TRUE,0,87,45.55629326
5,TRUE,TRUE,0,61,42.66716231
2,TRUE,TRUE,0,65,43.86009085
1,TRUE,TRUE,0,75,37.9612265
8,TRUE,TRUE,0,63,40.52385022
7,TRUE,TRUE,0,88,45.71112781
2,TRUE,TRUE,0,66,43.47350156
5,TRUE,TRUE,0,62,43.56282911
8,TRUE,TRUE,0,64,40.99114753
7,TRUE,TRUE,0,89,46.10294257
2,TRUE,TRUE,0,67,44.19866795
6,TRUE,TRUE,0,73,43.7174451
5,TRUE,TRUE,0,63,44.02747637
3,TRUE,TRUE,0,74,47.04005965
4,TRUE,TRUE,0,55,36.61757274
5,TRUE,TRUE,0,64,44.72114335
1,TRUE,TRUE,0,76,38.55432689
3,TRUE,TRUE,0,75,46.50082454
8,TRUE,TRUE,0,65,40.89496366
2,TRUE,TRUE,0,68,44.37950022
4,TRUE,TRUE,0,56,37.14903122
2,TRUE,TRUE,0,69,44.91723304
8,TRUE,TRUE,0,66,41.49172464
6,TRUE,TRUE,0,74,44.55765745
