Block,Year,Tree_ID,GBH,DBH,Status,Snag,Species,Easting,Northing,In_out
6,1996,185,186,59.2,1,No,F,433044,106801.6,In
6,2014,185,193,61.43380803,1,No,F,433044,106801.6,In
6,1959,186,NA,76,NA,No,F,433044,106791,In
6,1964,186,NA,79,1,No,F,433044,106791,In
6,1984,186,280,89.1,1,No,F,433044,106791,In
6,1988,186,282,89.8,1,No,F,433044,106791,In
6,1996,186,286,91,1,No,F,433044,106791,In
6,2014,186,297,94.5380362,1,No,F,433044,106791,In
6,1959,187,NA,51,1,No,F,433042.7,106800.3,In
6,1964,187,NA,54,1,No,F,433042.7,106800.3,In
6,1984,187,180,57.3,1,No,F,433042.7,106800.3,In
6,1988,187,180,57.3,1,No,F,433042.7,106800.3,In
6,1996,187,187,59.5,1,No,F,433042.7,106800.3,In
6,2014,187,203,64.6169069,1,No,F,433042.7,106800.3,In
6,1964,188,NA,0.6,1,No,I,433041.7,106785.5,In
6,1959,189,NA,51,NA,No,F,433038.7,106795.6,In
6,1964,189,NA,53,1,No,F,433038.7,106795.6,In
6,1984,189,170,54.1,1,No,F,433038.7,106795.6,In
6,1988,189,169,53.8,1,No,F,433038.7,106795.6,In
6,1996,189,172,54.7,1,No,F,433038.7,106795.6,In
6,2014,189,181,57.6140894,1,No,F,433038.7,106795.6,In
6,1964,190,NA,0.7,1,No,I,433038.5,106798,In
6,1964,191,NA,0.7,1,No,I,433038.5,106795.9,In
6,1959,192,NA,34,0,No,F,433038.2,106789.4,In
6,1964,192,NA,34,0,No,F,433038.2,106789.4,In
6,1964,193,NA,0.6,1,No,I,433037.5,106798.9,In
6,1959,194,NA,0.5,NA,No,I,433036.6,106803,In
6,1964,194,NA,0.6,1,No,I,433036.6,106803,In
7,1964,195,NA,0.6,1,No,I,433050.6,106775.4,In
7,1964,196,NA,0.5,1,No,I,433050.1,106767.8,In
7,1964,197,NA,0.8,1,No,I,433049.2,106783.2,In
7,1964,198,NA,0.5,1,No,I,433047.9,106783,In
7,1964,199,NA,0.6,1,No,I,433047.8,106774.2,In
7,1959,200,NA,61,1,No,Q,433047.6,106784.9,In
7,1964,200,NA,63,1,No,Q,433047.6,106784.9,In
