"ID2","Year","DBH","BA","Dead","Dead2","Dead_cum","Dead3","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL","Easting","Northing","Species","Dead_cum2"
48,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433048.2,106866.3,"I",1
50,1964,0.9,6.36172512351933e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433047.9,106867.6,"I",0
50,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.9,6.36172512351933e-05,3.70990472485238e-05,20,433047.9,106867.6,"I",1
50,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433047.9,106867.6,"I",1
50,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433047.9,106867.6,"I",1
50,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433047.9,106867.6,"I",1
51,1964,0.6,2.82743338823081e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433047.9,106852.3,"I",0
51,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.6,2.82743338823081e-05,6.21961761337399e-06,20,433047.9,106852.3,"I",1
51,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433047.9,106852.3,"I",1
51,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433047.9,106852.3,"I",1
51,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433047.9,106852.3,"I",1
52,1964,0.7,3.8484510006475e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433046.6,106851.6,"F",0
52,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.7,3.8484510006475e-05,1.52574994578081e-05,20,433046.6,106851.6,"F",1
52,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433046.6,106851.6,"F",1
52,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433046.6,106851.6,"F",1
52,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433046.6,106851.6,"F",1
53,1964,0.7,3.8484510006475e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433046.4,106856.4,"F",0
53,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.7,3.8484510006475e-05,1.52574994578081e-05,20,433046.4,106856.4,"F",1
53,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433046.4,106856.4,"F",1
53,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433046.4,106856.4,"F",1
53,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433046.4,106856.4,"F",1
54,1964,69,0.373928065593525,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433046.3,106867.8,"Q",0
54,1984,66.8,0.350463510063863,0,0,0,0,NA,NA,NA,NA,69,0.373928065593525,0.466826114554666,20,433046.3,106867.8,"Q",0
54,1988,68.1,0.364237037655364,0,0,0,0,-1.1,-11.7322777648311,-0.164670658682635,-0.0031375761394665,66.8,0.350463510063863,0.440510068213685,4,433046.3,106867.8,"Q",0
54,1996,66.2,0.344196032719951,0,0,0,0,3.24999999999999,34.4338189787526,0.477239353891335,0.00982522230987126,68.1,0.364237037655364,0.460281986018419,12,433046.3,106867.8,"Q",0
54,2014,69.07325,0.374722406737289,0,0,0,0,-2.37499999999999,-25.0512561692658,-0.358761329305134,-0.00687773443648773,66.2,0.344196032719951,0.48807847174425,18,433046.3,106867.8,"Q",0
55,1964,0.5,1.96349540849362e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433046.2,106862.6,"F",0
55,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.5,1.96349540849362e-05,1.15807984207354e-06,20,433046.2,106862.6,"F",1
